ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
316	1	1	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
317	2	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
318	3	2	1	0.000000	13.333333	12.333333	0.000000	0.000000	0	0	0
319	1	1	1	0.000000	12.000000	11.000000	0.000000	0.000000	0	0	0
320	1	2	2	0.000000	39.000000	38.000000	0.000000	0.000000	0	0	0
321	2	2	2	0.000000	13.000000	12.000000	0.000000	0.000000	0	0	0
322	1	1	1	0.000000	12.000000	11.000000	0.000000	0.000000	0	0	0
323	3	1	2	0.000000	13.000000	12.000000	0.000000	0.000000	0	0	0
324	1	2	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
325	1	2	2	0.000000	36.000000	36.000000	0.000000	0.000000	0	0	0
326	1	1	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
327	9	1	2	0.000000	13.666667	13.666667	0.000000	0.000000	0	0	0
328	5	1	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
329	1	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
330	20	2	1	0.000000	9.900000	9.900000	0.000000	0.000000	0	0	0
331	10	1	1	0.000000	9.700000	9.700000	0.000000	0.000000	0	0	0
332	1	6	5	0.000000	305.000000	47.000000	0.000000	0.000000	0	0	0
333	1	5	6	0.000000	317.000000	68.000000	0.000000	0.000000	0	0	0
334	1	3	2	0.000000	32.000000	31.000000	0.000000	0.000000	0	0	0
335	3	2	2	0.000000	13.666667	13.000000	0.000000	0.000000	0	0	0
336	1	2	2	0.000000	14.000000	13.000000	0.000000	0.000000	0	0	0
337	11	1	1	0.000000	13.545455	12.363636	0.000000	0.000000	0	0	0
338	1	3	3	0.000000	18.000000	16.000000	0.000000	0.000000	0	0	0
339	7	1	1	0.000000	13.857143	13.000000	0.000000	0.000000	0	0	0
340	1	2	2	0.000000	33.000000	33.000000	0.000000	0.000000	0	0	0
341	1	2	2	0.000000	37.000000	37.000000	0.000000	0.000000	0	0	0
342	10	1	1	0.000000	13.900000	13.900000	0.000000	0.000000	0	0	0
343	1	2	2	0.000000	41.000000	40.000000	0.000000	0.000000	0	0	0
344	4	1	1	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
345	1	2	2	0.000000	27.000000	26.000000	0.000000	0.000000	0	0	0
346	19	1	1	0.000000	14.789474	14.210526	0.000000	0.000000	0	0	0
347	2	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
348	1	2	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
349	4	1	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
350	1	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
351	19	2	1	0.000000	14.947368	14.947368	0.000000	0.000000	0	0	0
352	11	2	1	0.000000	19.363636	19.363636	0.000000	0.000000	0	0	0
353	26	2	1	0.000000	20.730769	20.730769	0.000000	0.000000	0	0	0
354	1	2	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
355	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
356	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
357	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
358	17	2	2	0.000000	18.117647	18.117647	0.000000	0.000000	0	0	0
359	10	1	1	0.000000	17.900000	17.900000	0.000000	0.000000	0	0	0
360	1	2	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
361	1	2	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
362	11	1	1	0.000000	18.181818	16.363636	0.000000	0.000000	0	0	0
363	7	2	2	0.000000	19.000000	18.714286	0.000000	0.000000	0	0	0
364	3	1	1	0.000000	18.333333	18.000000	0.000000	0.000000	0	0	0
365	75	1	1	0.000000	15.880000	15.853333	0.000000	0.000000	0	0	0
366	8	2	2	0.000000	20.750000	19.750000	0.000000	0.000000	0	0	0
367	6	2	1	0.000000	20.833333	14.333333	0.000000	0.000000	0	0	0
368	3	1	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
369	2	3	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
370	3	1	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
371	1	1	1	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
372	1	2	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
373	3	2	1	0.000000	21.666667	21.666667	0.000000	0.000000	0	0	0
374	1	1	1	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
375	1	2	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
376	5	2	1	0.000000	21.200000	21.200000	0.000000	0.000000	0	0	0
377	2	2	1	0.000000	3.500000	3.500000	0.000000	0.000000	0	0	0
378	1	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
379	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
380	1	1	2	0.000000	11.000000	11.000000	0.000000	0.000000	0	0	0
381	1	3	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
382	30	1	1	0.000000	12.400000	11.666667	0.000000	0.000000	0	0	0
383	7	1	2	0.000000	12.285714	12.285714	0.000000	0.000000	0	0	0
384	1	1	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
385	1	2	2	0.000000	44.000000	44.000000	0.000000	0.000000	0	0	0
386	9	1	1	0.000000	15.888889	15.444444	0.000000	0.000000	0	0	0
387	23	2	2	0.000000	16.260870	15.478261	0.000000	0.000000	0	0	0
388	2	1	1	0.000000	13.500000	13.500000	0.000000	0.000000	0	0	0
